Status	CodigoSAP	Conta	CUP	Negocio	OrganizacaoVendas	ListaPrecoCodigo	ListaPrecoNome	DataFixacaoPreco	GrupoPreco	CondicaoPagamento	CodigoCondicaoPagamento	CodigoProduto	StatusVenda	M2PorCx	ClasseUso	CoefAtrito	Origem	Diferenciais	Produto	QtdePallet	Espessura	Hierarquia1	Hierarquia2	Hierarquia3	CodigoBarras	NCM	CEST	PesoBruto	PesoLiquido	UnidadeMedidaPeso	Moeda	PercentualAcrescimo	PercentualAVP	ValorAVP	PercentualMVA	ValorLista	ValorPis	PercentualPis	ValorCofins	PercentualCofins	ValorICMS	PercentualICMS	ValorIPI	PercentualIPI	ValorICMSST	ValorLiquido	ValorMercadoriaVista	ValorMercadoriaPrazo	ValorDaNF	QtdeMultiplaPorEmbalagem	PercentualDescontos	PercentualIcmsDestino	ValorIcmsDestino	ValorIB3S	ValorCBS3
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.15.37	DECA MIX GERAL						LAVATORIO 395X295MM IZY-CREME	0		Deca - Peca Grande	Competitivo	Lavatório/Coluna Univ.Competitivo	'7894200704690	6910.90.00		7,427	7,427	KG	BRL	0	0,88	0,72	0	91,29	1,53	1,65	7,04	7,6	12,63	12	0	0	0	92,01	104,31	105,24	105,24	1	0	23	2,3	0,08	0,76
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.33050.94	DECA MIX GERAL						CUBA DE EMBUTIR RETANGULAR 50 CM ÉBFC	0		Deca - Peca Grande	Luxo	Cuba Slim	'7894202014407	6910.90.00		13,571	12,576	KG	BRL	0	0,88	4,49	0	536,87	9,49	1,65	43,7	7,6	78,4	12	0	0	0	541,36	647,61	653,36	653,36	1	0	23	2,3	0,52	4,7
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.65.95	DECA MIX GERAL						CUBA SOBR UNIV OVAL 440X310MM-EBANO	0		Deca - Peca Grande	Competitivo	Cubas de Sobrepor Competitivo	'7894200767183	6910.90.00		4,298	4,298	KG	BRL	0	0,88	0,96	0	114,82	2,03	1,65	9,35	7,6	16,77	12	0	0	0	115,78	138,5	139,73	139,73	1	0	23	2,3	0,11	1
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'P.202.17	DECA MIX GERAL						BACIA P/CAIXA ACOPL BELLE EPOQUE-BRANCO	0		Deca - Peca Grande	Luxo	Belle Epoque	'7894200700340	6910.90.00		28,647	27,18	KG	BRL	0	0,88	13,88	0	1577,24	29,34	1,65	135,13	7,6	242,46	12	0	0	0	1591,12	2002,69	2020,47	2020,47	1	0	23	2,3	1,61	14,52
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'BC.50A.87							BACIA CONVENC JADE-A-CINZA REAL	0		Deca - Peca Grande	Competitivo	Jade	'7894200798514	6910.90.00		13,583	13,583	KG	BRL	0	0,88	0,83	0	94,86	1,76	1,65	8,13	7,6	14,58	12	0	0	0	95,69	120,44	121,51	121,51	1	0	23	2,3	0,1	0,87
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'SD.05.01							SISTEMA DESODORIZADOR PARA MICTORIO	0		Deca - Peca Pequena	Outros PP	Decanel	'7894200749738	8481.90.10		0,076	0,046	KG	BRL	0	0,88	1,21	0	137,91	2,57	1,65	11,82	7,6	21,2	12	13,78	7,8	0	139,12	175,11	176,66	190,44	1	0	23	2,3	0,14	1,27
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'AP.766.37	DECA MIX GERAL						ASS TERM EASY CLEAN E SL CLOSE FAST - CR	0		Deca - Peca Pequena	Competitivo	Assento Termofixo Competitivo	'7894200727231	3922.20.00		3	2,5	KG	BRL	0	0,88	2,62	0	330,63	5,48	1,65	25,25	7,6	13,84	4	0	0	0	333,25	342,99	346,04	346,04	5	0	23	2,3	0,3	2,71
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.43050.MD.49	DECA MIX GERAL						CUBA RETANG SUSP MESA DIR 50CM-SÁLVIA	0		Deca - Peca Grande	Luxo	Cuba Slim	'7894202011857	6910.90.00		11,036	10,455	KG	BRL	0	0,88	5,22	0	624,27	11,03	1,65	50,81	7,6	91,17	12	0	0	0	629,49	753,03	759,72	759,72	1	0	23	2,3	0,61	5,46
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.100.17	DECA MIX GERAL						LAVATORIO 430X235MM IZY-BRANCO	0		Deca - Peca Grande	Competitivo	Lavatório/Coluna Univ.Competitivo	'7894200703457	6910.90.00		6,774	6,774	KG	BRL	0	0,88	0,92	0	115,74	1,94	1,65	8,93	7,6	16,01	12	0	0	0	116,66	132,28	133,45	133,45	1	0	23	2,3	0,11	0,96
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'AP.2362.26	DECA MIX GERAL						ASS TERMO SLOW LK/CARRARA/NUOVA-BARBANTE	0		Deca - Peca Pequena	Luxo	Assento Termofixo Luxo	'7894202004156	3922.20.00		2,1	1,9	KG	BRL	0	0,88	1,74	0	220,18	3,65	1,65	16,81	7,6	9,22	4	0	0	0	221,92	228,4	230,43	230,43	5	0	23	2,3	0,2	1,81
